STATEFIP,age_recoded,race_recoded,male,education_recoded,PERWT,prop
11,3,4,False,3,953.0,3.762388676377096e-06
11,3,4,True,1,4100.0,1.6186561986512164e-05
11,3,4,True,3,552.0,2.1792639552572476e-06
11,3,9,False,1,2061.0,8.13670835468331e-06
11,3,9,False,3,22.0,8.685472285445551e-08
11,3,9,True,1,1315.0,5.191543661527682e-06
12,1,1,False,1,990106.0,0.003908881010296979
12,1,1,False,3,6275.0,2.477333572325947e-05
12,1,1,True,1,1030592.0,0.004068717388000864
12,1,1,True,3,7273.0,2.8713381787293407e-05
12,1,2,False,1,423392.0,0.0016715270372178923
12,1,2,False,3,4821.0,1.9033028130969548e-05
12,1,2,True,1,420104.0,0.001658546204093099
12,1,2,True,3,4712.0,1.86027024586452e-05
12,1,3,False,1,72084.0,0.00028458344737457145
